sample_id,expected,predicted,match,confidence,failure_type,explanation,rigidity_index,integration_index,discernment_index,threat_prediction_index,scores
INT-003,Integrated,Integrated,True,High,,The text contains strong updated-continuity markers.,1,4,0,1,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 1, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 3}"
INT-004,Integrated,Integrated,True,Medium,,The text integrates competing truths into a revised starting point.,-3,6,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 3, ""fragmentation"": 0, ""integration"": 1}"
INT-005,Integrated,Integrated,True,High,,The text shows updated continuity and self-model revision.,-2,5,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 3}"
INT-006,Integrated,Integrated,True,High,,Process-reflective attribution revises the self-model.,-1,5,1,1,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 1}"
INT-007,Integrated,Integrated,True,High,,The text shows updated continuity and self-model revision.,-1,5,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 1, ""fragmentation"": 0, ""integration"": 2}"
INT-008,Integrated,Integrated,True,High,,The text shows updated continuity and self-model revision.,-1,6,1,1,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 2}"
DEF-001,Defensive,Defensive,True,High,,External blame or defensive hinge dominates.,3,0,-4,3,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 1, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-002,Defensive,Defensive,True,High,,External blame or defensive hinge dominates.,2,0,-4,0,"{""self_reference"": 2, ""identity_fixity"": 2, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-003,Defensive,Defensive,True,High,,"The text rejects feedback through dismissal, blame, or low-discernment attribution.",1,0,-2,1,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-004,Defensive,Defensive,True,High,,"The text rejects feedback through dismissal, blame, or low-discernment attribution.",0,0,-1,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-005,Defensive,Defensive,True,High,,"The text rejects feedback through dismissal, blame, or low-discernment attribution.",0,0,-2,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-006,Defensive,Defensive,True,High,,Evidence language is paired with global blame or contempt.,1,0,-17,1,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
DEF-007,Defensive,Defensive,True,High,,External blame or defensive hinge dominates.,0,1,0,1,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 0, ""integration"": 0}"
DEF-008,Defensive,Defensive,True,High,,External blame or defensive hinge dominates.,2,0,-1,2,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-001,Rigid,Rigid,True,High,,High identity fixity with low flexibility and integration.,4,0,0,1,"{""self_reference"": 3, ""identity_fixity"": 3, ""prediction"": 1, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-002,Rigid,Rigid,True,High,,High identity fixity with low flexibility and integration.,3,0,0,0,"{""self_reference"": 1, ""identity_fixity"": 3, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-003,Rigid,Rigid,True,High,,High identity fixity with low flexibility and integration.,4,0,0,2,"{""self_reference"": 3, ""identity_fixity"": 2, ""prediction"": 2, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-004,Rigid,Rigid,True,High,,High identity fixity with low flexibility and integration.,3,0,0,0,"{""self_reference"": 2, ""identity_fixity"": 3, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-005,Rigid,Rigid,True,Medium,,Fatalistic prediction and threat are generalized into a stable rule.,3,0,0,2,"{""self_reference"": 1, ""identity_fixity"": 1, ""prediction"": 1, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-006,Rigid,Rigid,True,Medium,,Third-person self-distance expresses fixed identity expectation.,2,0,0,1,"{""self_reference"": 2, ""identity_fixity"": 1, ""prediction"": 1, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-007,Rigid,Rigid,True,High,,High identity fixity with low flexibility and integration.,4,0,-1,2,"{""self_reference"": 2, ""identity_fixity"": 2, ""prediction"": 2, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
RIG-008,Rigid,Rigid,True,Medium,,Third-person self-distance expresses fixed identity expectation.,3,0,0,1,"{""self_reference"": 2, ""identity_fixity"": 2, ""prediction"": 1, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
FRAG-001,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,0,-1,0,1,"{""self_reference"": 3, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 2, ""integration"": 0}"
FRAG-002,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,3,-1,0,6.0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 2, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 2, ""integration"": 0}"
FRAG-003,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,-1,-1,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 2, ""integration"": 0}"
FRAG-004,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,-2,0,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 2, ""fragmentation"": 2, ""integration"": 0}"
FRAG-005,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,4,-2,0,6.0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 2, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
FRAG-006,Fragmented,Fragmented,True,High,,The text names a pattern but explicitly leaves it unresolved.,1,-3,0,1,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 3, ""integration"": 0}"
FRAG-007,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,3,-2,0,2,"{""self_reference"": 2, ""identity_fixity"": 1, ""prediction"": 1, ""threat"": 1, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
FRAG-008,Fragmented,Fragmented,True,High,,Competing self-models remain active without resolution.,-1,-1,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 2, ""integration"": 0}"
OVER-001,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",2,-2,0,2,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-002,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",2,-2,0,2,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-003,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",2,-2,0,2,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-004,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",4,-2,0,6.0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 2, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-005,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",2,-2,0,2,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-006,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,Sarcasm co-occurs with bodily distress or rumination.,4,0,0,6.0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 2, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
OVER-007,Overloaded,Overloaded,True,High,,"Agency, meaning, or action collapses.",2,-2,0,2,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 2, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 2, ""integration"": 0}"
OVER-008,Overloaded,Overloaded,True,High,,Threat-prediction and rumination dominate without resolution.,5,0,0,7.5,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 2, ""threat"": 3, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-001,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-002,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-003,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-004,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-005,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
NEUT-006,Stable/Neutral,Stable/Neutral,True,Medium,,Objective or administrative text with no self-model activity.,0,0,0,0,"{""self_reference"": 0, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
MIX-001,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,The text is reflective but explicitly undecided or unresolved.,-3,3,0,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 3, ""fragmentation"": 0, ""integration"": 0}"
MIX-002,Mixed / Review Needed,Mixed / Review Needed,True,Low,,Signals are mixed or insufficient for confident classification.,-1,1,1,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 1, ""narrative_flexibility"": 1, ""fragmentation"": 1, ""integration"": 0}"
MIX-003,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,Evidence language is paired with self-questioning about ego or motive.,-1,1,2,0,"{""self_reference"": 3, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 0, ""integration"": 0}"
MIX-004,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,The text is reflective but explicitly undecided or unresolved.,-2,2,1,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 3, ""integration"": 1}"
MIX-005,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,Third-person self-distance is present but framed ambivalently.,1,1,0,1,"{""self_reference"": 2, ""identity_fixity"": 1, ""prediction"": 1, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 1, ""fragmentation"": 0, ""integration"": 0}"
MIX-006,Mixed / Review Needed,Mixed / Review Needed,True,Medium,,The text is reflective but explicitly undecided or unresolved.,-3,5,1,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 3, ""fragmentation"": 0, ""integration"": 0}"
